"","from","to"
"1",1,2
"2",1,3
"3",1,4
"4",5,2
"5",5,6
"6",5,7
"7",5,8
"8",5,9
"9",5,3
"10",5,10
"11",5,11
"12",2,10
"13",2,5
"14",2,3
"15",2,12
"16",2,13
"17",2,14
"18",2,15
"19",2,16
"20",2,17
"21",2,18
"22",2,4
"23",2,1
"24",2,19
"25",12,2
"26",12,5
"27",12,11
"28",10,7
"29",10,8
"30",10,2
"31",14,2
"32",14,3
"33",14,13
"34",13,20
"35",13,3
"36",17,20
"37",17,3
"38",17,12
"39",17,2
"40",21,7
"41",21,8
"42",21,22
"43",21,23
"44",21,24
"45",21,25
"46",21,26
"47",21,27
"48",21,28
"49",21,29
"50",21,30
"51",21,31
"52",21,32
"53",21,33
"54",21,34
"55",21,35
"56",21,36
"57",16,2
"58",16,3
"59",16,15
"60",3,8
"61",3,5
"62",3,2
"63",3,20
"64",3,13
"65",3,4
"66",3,15
"67",3,17
"68",7,8
"69",7,21
"70",7,5
"71",18,2
"72",18,3
"73",18,17
"74",18,12
"75",26,25
"76",26,7
"77",26,8
"78",26,20
"79",26,34
"80",26,37
"81",26,38
"82",39,5
"83",39,26
"84",15,20
"85",15,3
"86",37,8
"87",37,28
"88",37,21
"89",37,20
"90",4,20
"91",4,3
"92",36,25
"93",38,34
"94",38,8
"95",38,7
"96",38,10
"97",38,20
"98",34,8
"99",34,7
"100",34,10
